id,Profit
1,44842.62
2,18601.05
3,108535.43
4,72003.23
5,42677.23
6,98657.33
7,69462.69
8,92430.41
9,82384.04
10,93690.42
11,71715.5
12,64055.06
13,94358.71
14,48028.64
15,51953.77
16,59477.42
17,46611.49
18,117399.45
19,58251.85
20,69334.95
21,127902.36
22,92908.16
23,51625.69
24,109388.8
25,157593.4
26,146764.94
27,58086.1
28,125159.2
29,122900.39
30,82825.67
31,88439.53
32,73809.42
33,53359.1
34,45189.02
35,147065.78
36,72306.63
37,84025.35
38,75704.65
39,65911.03
40,110347.52
41,70524.36
42,62011.71
43,62981.46
44,51087.62
45,103091.86
46,38986.97
47,74994.23
48,113246.4
49,37057.12
50,37638.09
51,150612.75
52,75053.91
53,60399.88
54,94208.43
55,67575.53
56,97420.55
57,106732.96
58,123117.84
59,12954.06
60,60114.97
61,142722.81
62,110529.6
63,78807.08
64,61292.87
65,120891.48
66,149803.43
67,150021.84
68,38057.34
69,42836.79
70,65695.1
71,170761.5
72,145984.52
73,28581.96
74,62943.4
75,83693.25
76,169827.18
77,114637.37
78,96203.31
79,84428.36
80,57286.61
81,41411.91
82,22697.38
83,108307.75
84,163489.95
85,38107.03
86,48962.77
87,114856.58
88,150950.48
89,101451.29
90,147003.92
91,62359.3
92,161255.51
93,97318.12
94,50759.12
95,133313.59
96,76127.35
97,77302.69
98,77418.55
99,92161.07
100,62488.26
