transaction_id,is_fraud
900001,0
900002,0
900003,0
900004,0
900005,0
900006,0
900007,1
900008,0
900009,0
900010,0
900011,0
900012,0
900013,0
900014,0
900015,0
900016,0
900017,0
900018,0
900019,0
900020,0
900021,0
900022,0
900023,0
900024,0
900025,0
900026,0
900027,1
900028,0
900029,0
900030,0
900031,0
900032,0
900033,0
900034,0
900035,0
900036,0
900037,0
900038,0
900039,0
900040,0
900041,0
900042,0
900043,0
900044,0
900045,1
900046,0
900047,0
900048,0
900049,0
900050,1
900051,0
900052,0
900053,0
900054,0
900055,1
900056,0
900057,0
900058,0
900059,0
900060,0
900061,0
900062,0
900063,0
900064,0
900065,0
900066,0
900067,0
900068,0
900069,0
900070,0
900071,0
900072,0
900073,0
900074,0
900075,0
900076,0
900077,0
900078,0
900079,0
900080,0
900081,0
900082,0
900083,0
900084,1
900085,0
900086,0
900087,0
900088,0
900089,0
900090,0
900091,0
900092,0
900093,0
900094,0
900095,0
900096,0
900097,1
900098,0
900099,0
900100,0
